Date,Open,High,Low,Close,Adj Close,Volume
2017-05-17,126.000000,127.000000,125.599998,127.000000,126.170860,13380
2017-05-18,132.000000,133.339996,129.199997,133.339996,132.469467,30652
2017-05-19,133.600006,140.000000,133.600006,140.000000,139.086014,31350
2017-05-22,140.800003,146.919998,139.199997,140.600006,139.682083,25115
2017-05-23,144.000000,144.000000,133.639999,143.000000,142.066422,5582
2017-05-24,137.440002,142.000000,135.860001,135.860001,134.973022,9967
2017-05-25,135.960007,135.960007,129.080002,132.720001,131.853531,7965
2017-05-26,135.960007,138.000000,128.899994,133.000000,132.131699,14010
2017-05-29,127.199997,133.000000,126.360001,126.820000,125.992035,4580
2017-05-30,132.759995,132.759995,120.480003,120.540001,119.753044,3872
2017-05-31,120.400002,125.959999,114.800003,122.059998,121.263115,6152
2017-06-01,122.000000,122.000000,118.800003,121.680000,120.885605,4895
2017-06-02,127.480003,127.480003,119.599998,119.900002,119.117218,3057
2017-06-05,123.599998,123.599998,114.400002,115.720001,114.964508,3165
2017-06-06,119.519997,120.000000,115.260002,117.379997,116.613663,1575
2017-06-07,120.000000,120.000000,116.000000,116.000000,115.242683,347
2017-06-08,120.360001,120.360001,114.400002,114.540001,113.792221,1305
2017-06-09,119.599998,119.599998,115.260002,116.400002,115.640076,1587
2017-06-12,119.959999,121.919998,115.639999,117.339996,116.573929,1500
2017-06-13,122.000000,122.000000,114.400002,115.360001,114.606857,3580
2017-06-14,120.800003,121.120003,116.000000,119.099998,118.322441,2965
2017-06-15,122.559998,122.599998,119.199997,119.279999,118.501266,5535
2017-06-16,119.279999,125.239998,118.599998,120.760002,119.971611,10745
2017-06-19,126.599998,126.779999,122.040001,126.779999,125.952301,18742
2017-06-20,130.000000,133.100006,126.000000,133.100006,132.231049,37792
2017-06-21,139.119995,139.479996,127.599998,133.520004,132.648315,16147
2017-06-22,136.800003,140.179993,132.039993,140.059998,139.145599,29925
2017-06-23,147.059998,147.059998,147.059998,147.059998,146.099884,7665
2017-06-27,154.279999,154.399994,154.279999,154.399994,153.391968,17037
2017-06-28,162.119995,162.119995,147.600006,159.960007,158.915695,51577
2017-06-29,166.720001,166.720001,160.199997,161.539993,160.485352,6167
2017-06-30,156.000000,162.000000,156.000000,159.720001,158.677246,5617
2017-07-03,153.199997,161.600006,153.199997,157.440002,156.412155,3460
2017-07-04,161.600006,161.600006,153.880005,159.779999,158.736847,2162
2017-07-05,160.000000,160.000000,154.460007,158.380005,157.346008,8680
2017-07-06,165.199997,165.199997,154.399994,156.800003,155.776337,9087
2017-07-07,159.199997,160.399994,158.660004,160.000000,158.955414,1982
2017-07-10,159.199997,159.199997,158.800003,159.199997,158.160645,1275
2017-07-11,152.000000,159.600006,152.000000,156.020004,155.001419,8437
2017-07-12,156.000000,159.580002,156.000000,159.199997,158.160645,4417
2017-07-13,159.199997,162.399994,158.419998,160.259995,159.213730,4090
2017-07-14,162.399994,164.000000,160.000000,162.800003,161.737152,11547
2017-07-17,162.800003,170.940002,162.800003,170.940002,169.824005,24880
2017-07-18,175.979996,178.039993,168.399994,172.679993,171.552643,16720
2017-07-19,172.000000,178.039993,172.000000,178.039993,176.877655,16837
2017-07-20,178.039993,178.039993,178.039993,178.039993,176.877655,3462
2017-07-21,178.039993,178.039993,178.039993,178.039993,176.877655,4102
2017-07-24,178.039993,178.039993,178.039993,178.039993,176.877655,4157
2017-07-25,178.039993,178.039993,178.039993,178.039993,176.877655,8387
2017-07-26,178.039993,178.039993,178.039993,178.039993,176.877655,1987
2017-07-27,178.039993,178.039993,178.039993,178.039993,176.877655,82
2017-07-28,178.039993,178.039993,178.039993,178.039993,176.877655,435
2017-07-31,178.039993,178.039993,178.039993,178.039993,176.877655,4000
2017-08-01,178.039993,178.039993,178.039993,178.039993,176.877655,662
2017-08-02,178.039993,178.039993,178.039993,178.039993,176.877655,90
2017-08-03,178.039993,178.039993,178.039993,178.039993,176.877655,200
2017-08-04,178.039993,178.039993,178.039993,178.039993,176.877655,562
2017-08-07,178.039993,178.039993,178.039993,178.039993,176.877655,2
2017-08-08,178.039993,178.039993,178.039993,178.039993,176.877655,50
2017-08-09,178.039993,178.039993,178.039993,178.039993,176.877655,1462
2017-08-10,178.039993,178.039993,178.039993,178.039993,176.877655,3290
2017-08-11,178.039993,178.039993,178.039993,178.039993,176.877655,3585
2017-08-14,178.039993,178.039993,178.039993,178.039993,176.877655,190
2017-08-16,178.039993,178.039993,178.039993,178.039993,176.877655,12
2017-08-17,178.039993,178.039993,178.039993,178.039993,176.877655,250
2017-08-18,178.039993,178.039993,178.039993,178.039993,176.877655,0
2017-08-21,178.039993,178.039993,178.039993,178.039993,176.877655,952
2017-08-22,178.039993,178.039993,178.039993,178.039993,176.877655,250
2017-08-23,178.039993,178.039993,178.039993,178.039993,176.877655,95
2017-08-24,178.039993,178.039993,178.039993,178.039993,176.877655,0
2017-08-28,178.039993,178.039993,178.039993,178.039993,176.877655,252
2017-08-29,178.039993,178.039993,178.039993,178.039993,176.877655,302
2017-08-30,178.039993,178.039993,178.039993,178.039993,176.877655,0
2017-08-31,178.039993,178.039993,178.039993,178.039993,176.877655,30
2017-09-01,178.039993,178.039993,178.039993,178.039993,176.877655,75
2017-09-04,178.039993,178.039993,178.039993,178.039993,177.275925,125
2017-09-05,178.039993,178.039993,178.039993,178.039993,177.275925,10
2017-09-06,178.039993,178.039993,178.039993,178.039993,177.275925,25
2017-09-07,178.039993,178.039993,178.039993,178.039993,177.275925,0
2017-09-08,178.039993,178.039993,178.039993,178.039993,177.275925,225
2017-09-11,178.039993,178.039993,178.039993,178.039993,177.275925,100
2017-09-12,178.039993,178.039993,178.039993,178.039993,177.275925,250
2017-09-13,178.039993,178.039993,178.039993,178.039993,177.275925,0
2017-09-14,178.039993,178.039993,178.039993,178.039993,177.275925,0
2017-09-15,178.039993,178.039993,178.039993,178.039993,177.275925,4150
2017-09-18,178.039993,178.039993,178.039993,178.039993,177.275925,30
2017-09-19,178.039993,178.039993,178.039993,178.039993,177.275925,27
2017-09-20,178.039993,178.039993,178.039993,178.039993,177.275925,125
2017-09-21,178.039993,178.039993,178.039993,178.039993,177.275925,1750
2017-09-22,178.039993,178.039993,178.039993,178.039993,177.275925,550
2017-09-25,178.039993,178.039993,178.039993,178.039993,177.275925,265
2017-09-26,178.039993,178.039993,178.039993,178.039993,177.275925,255
2017-09-27,178.039993,178.039993,178.039993,178.039993,177.275925,0
2017-09-28,178.039993,178.039993,178.039993,178.039993,177.275925,0
2017-09-29,178.039993,178.039993,178.039993,178.039993,177.275925,225
2017-10-03,186.940002,186.940002,186.940002,186.940002,186.137726,105
2017-10-04,196.279999,196.279999,196.279999,196.279999,195.437653,2500
2017-10-05,206.080002,206.080002,206.000000,206.080002,205.195587,44317
2017-10-06,215.600006,216.380005,210.000000,216.380005,215.451401,98477
2017-10-09,227.179993,227.179993,227.179993,227.179993,226.205032,68510
2017-10-10,238.000000,238.520004,234.000000,238.520004,237.496384,54397
